Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2023-11-27,9102.0,9145.0,9089.0,9122.0,9122.0,106078,0.0,0.0,0.0
2023-11-28,9102.0,9103.0,9080.0,9094.0,9094.0,119506,0.0,0.0,0.0
2023-11-29,9151.0,9165.0,9140.0,9159.0,9159.0,133685,0.0,0.0,0.0
2023-11-30,9155.0,9159.0,9129.0,9130.0,9130.0,74097,0.0,0.0,0.0
2023-12-01,9170.0,9183.0,9166.0,9182.0,9182.0,71178,0.0,0.0,0.0
2023-12-04,9388.0,9393.0,9285.0,9326.0,9326.0,155905,0.0,0.0,0.0
2023-12-05,9123.0,9139.0,9092.0,9098.0,9098.0,212919,0.0,0.0,0.0
2023-12-06,9051.0,9073.0,9041.0,9069.0,9069.0,118625,0.0,0.0,0.0
2023-12-07,9088.0,9089.0,9028.0,9031.0,9031.0,173631,0.0,0.0,0.0
2023-12-08,8916.0,8916.0,8815.0,8890.0,8890.0,366806,0.0,0.0,0.0
2023-12-11,8866.0,8874.0,8833.0,8861.0,8861.0,200227,0.0,0.0,0.0
2023-12-12,8812.0,8817.0,8788.0,8796.0,8796.0,187038,0.0,0.0,0.0
2023-12-13,8773.0,8778.0,8753.0,8764.0,8764.0,144778,0.0,0.0,0.0
2023-12-14,8838.0,8845.0,8730.0,8766.0,8766.0,235545,0.0,0.0,0.0
2023-12-15,8826.0,8826.0,8788.0,8799.0,8799.0,177029,0.0,0.0,0.0
2023-12-18,8744.0,8762.0,8732.0,8760.0,8760.0,148339,0.0,0.0,0.0
2023-12-19,8800.0,8844.0,8781.0,8833.0,8833.0,81292,0.0,0.0,0.0
2023-12-20,8938.0,8945.0,8910.0,8928.0,8928.0,156668,0.0,0.0,0.0
2023-12-21,8882.0,8890.0,8860.0,8867.0,8867.0,93329,0.0,0.0,0.0
2023-12-22,8878.0,8891.0,8858.0,8887.0,8887.0,77610,0.0,0.0,0.0
2023-12-25,8920.0,8938.0,8896.0,8905.0,8905.0,71219,0.0,0.0,0.0
2023-12-26,8900.0,8935.0,8887.0,8933.0,8933.0,72131,0.0,0.0,0.0
2023-12-27,8970.0,8980.0,8959.0,8966.0,8966.0,134070,0.0,0.0,0.0
2023-12-28,8966.0,8984.0,8942.0,8967.0,8967.0,131374,0.0,0.0,0.0
