Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2025-03-04,1000.0,1003.0,990.0,997.0,955.638427734375,44133,0.0,0.0,0.0
2025-03-05,993.0,996.0,990.0,993.0,951.804443359375,54511,0.0,0.0,0.0
2025-03-06,992.0,993.0,986.0,991.0,949.8875122070312,66057,0.0,0.0,0.0
2025-03-07,978.0,984.0,966.0,967.0,926.8831176757812,153619,0.0,0.0,0.0
2025-03-10,966.0,968.0,958.0,961.0,924.9580078125,88213,4.0,0.0,0.0
2025-03-11,952.0,959.0,949.0,959.0,923.0331420898438,106428,0.0,0.0,0.0
2025-03-12,956.0,963.0,956.0,963.0,926.8831176757812,47939,0.0,0.0,0.0
2025-03-13,964.0,968.0,959.0,963.0,926.8831176757812,71880,0.0,0.0,0.0
2025-03-14,964.0,968.0,963.0,968.0,931.695556640625,15837,0.0,0.0,0.0
2025-03-17,968.0,975.0,967.0,970.0,933.6204833984375,33766,0.0,0.0,0.0
2025-03-18,976.0,984.0,975.0,984.0,947.0955200195312,28106,0.0,0.0,0.0
2025-03-19,983.0,983.0,978.0,983.0,946.1329956054688,46549,0.0,0.0,0.0
2025-03-21,979.0,985.0,978.0,985.0,948.0579223632812,22666,0.0,0.0,0.0
2025-03-24,983.0,985.0,982.0,983.0,946.1329956054688,23580,0.0,0.0,0.0
2025-03-25,986.0,987.0,984.0,985.0,948.0579223632812,21109,0.0,0.0,0.0
2025-03-26,985.0,985.0,982.0,983.0,946.1329956054688,21895,0.0,0.0,0.0
2025-03-27,980.0,980.0,974.0,976.0,939.3955688476562,31416,0.0,0.0,0.0
2025-03-28,977.0,981.0,975.0,979.0,942.282958984375,22134,0.0,0.0,0.0
2025-03-31,975.0,975.0,956.0,963.0,926.8831176757812,125252,0.0,0.0,0.0
2025-04-01,962.0,962.0,956.0,960.0,923.99560546875,57949,0.0,0.0,0.0
2025-04-02,960.0,962.0,956.0,958.0,922.0706176757812,85235,0.0,0.0,0.0
2025-04-03,950.0,953.0,934.0,942.0,906.670654296875,225212,0.0,0.0,0.0
2025-04-04,930.0,934.0,914.0,921.0,886.4583129882812,200410,0.0,0.0,0.0
2025-04-07,880.0,907.0,880.0,891.0,857.5834350585938,227493,0.0,0.0,0.0
2025-04-08,916.0,918.0,907.0,913.0,878.75830078125,104200,0.0,0.0,0.0
2025-04-09,880.0,903.0,863.0,903.0,869.1333618164062,278484,0.0,0.0,0.0
2025-04-10,930.0,931.0,910.0,912.0,882.6832275390625,87777,5.0,0.0,0.0
2025-04-11,876.0,883.0,866.0,883.0,854.6155395507812,146852,0.0,0.0,0.0
2025-04-14,885.0,885.0,867.0,874.0,845.9048461914062,135540,0.0,0.0,0.0
2025-04-15,885.0,886.0,876.0,881.0,852.6798095703125,93084,0.0,0.0,0.0
2025-04-16,878.0,880.0,865.0,866.0,838.1619873046875,121748,0.0,0.0,0.0
2025-04-17,867.0,876.0,867.0,876.0,847.8404541015625,44298,0.0,0.0,0.0
2025-04-18,877.0,884.0,876.0,881.0,852.6798095703125,30809,0.0,0.0,0.0
2025-04-21,879.0,879.0,862.0,864.0,836.2261962890625,107297,0.0,0.0,0.0
2025-04-22,864.0,869.0,855.0,860.0,832.3549194335938,129272,0.0,0.0,0.0
2025-04-23,882.0,893.0,882.0,886.0,857.51904296875,79165,0.0,0.0,0.0
2025-04-24,893.0,897.0,891.0,893.0,864.2941284179688,57582,0.0,0.0,0.0
2025-04-25,900.0,909.0,900.0,908.0,878.8118896484375,41574,0.0,0.0,0.0
2025-04-28,905.0,910.0,904.0,906.0,876.8760986328125,20390,0.0,0.0,0.0
2025-04-30,905.0,906.0,899.0,900.0,871.069091796875,35028,0.0,0.0,0.0
2025-05-01,902.0,913.0,901.0,906.0,876.8760986328125,59755,0.0,0.0,0.0
2025-05-02,915.0,920.0,914.0,918.0,888.4904174804688,15444,0.0,0.0,0.0
2025-05-07,909.0,909.0,904.0,905.0,875.9083862304688,54914,0.0,0.0,0.0
2025-05-08,905.0,909.0,902.0,909.0,879.7797241210938,46835,0.0,0.0,0.0
2025-05-09,919.0,919.0,915.0,915.0,885.5869140625,12450,4.0,0.0,0.0
2025-05-12,918.0,926.0,918.0,926.0,900.16845703125,51999,0.0,0.0,0.0
2025-05-13,935.0,936.0,930.0,931.0,905.029052734375,33130,0.0,0.0,0.0
2025-05-14,935.0,935.0,930.0,933.0,906.9732055664062,11598,0.0,0.0,0.0
2025-05-15,926.0,926.0,920.0,921.0,895.3079833984375,29063,0.0,0.0,0.0
2025-05-16,919.0,923.0,919.0,919.0,893.36376953125,15992,0.0,0.0,0.0
2025-05-19,905.0,920.0,904.0,918.0,892.3916015625,51448,0.0,0.0,0.0
2025-05-20,921.0,925.0,915.0,915.0,889.475341796875,21720,0.0,0.0,0.0
2025-05-21,916.0,916.0,906.0,909.0,883.6427001953125,28239,0.0,0.0,0.0
2025-05-22,901.0,902.0,891.0,895.0,870.033203125,74958,0.0,0.0,0.0
2025-05-23,897.0,927.0,894.0,898.0,872.949462890625,68642,0.0,0.0,0.0
2025-05-26,898.0,898.0,893.0,897.0,871.9774169921875,123393,0.0,0.0,0.0
2025-05-27,896.0,900.0,893.0,899.0,873.921630859375,70777,0.0,0.0,0.0
2025-05-28,910.0,910.0,902.0,910.0,884.61474609375,37582,0.0,0.0,0.0
2025-05-29,917.0,921.0,915.0,921.0,895.3079833984375,86828,0.0,0.0,0.0
2025-05-30,906.0,908.0,899.0,907.0,881.6984252929688,68355,0.0,0.0,0.0
2025-06-02,904.0,907.0,898.0,904.0,878.7821044921875,48180,0.0,0.0,0.0
2025-06-03,900.0,902.0,895.0,899.0,873.921630859375,82992,0.0,0.0,0.0
2025-06-04,902.0,908.0,902.0,907.0,881.6984252929688,65455,0.0,0.0,0.0
2025-06-05,903.0,906.0,902.0,905.0,879.7542114257812,21833,0.0,0.0,0.0
2025-06-06,907.0,913.0,907.0,913.0,887.5311279296875,38027,0.0,0.0,0.0
2025-06-09,911.0,912.0,907.0,908.0,882.6705322265625,24456,0.0,0.0,0.0
2025-06-10,910.0,916.0,910.0,912.0,890.4818115234375,26946,4.0,0.0,0.0
2025-06-11,912.0,916.0,912.0,916.0,894.387451171875,14963,0.0,0.0,0.0
2025-06-12,910.0,911.0,906.0,907.0,885.5997314453125,43514,0.0,0.0,0.0
2025-06-13,902.0,903.0,893.0,898.0,876.8120727539062,215494,0.0,0.0,0.0
2025-06-16,904.0,904.0,898.0,901.0,879.7412719726562,47998,0.0,0.0,0.0
2025-06-17,901.0,905.0,900.0,904.0,882.6705322265625,25687,0.0,0.0,0.0
2025-06-18,905.0,907.0,903.0,905.0,883.6469116210938,18068,0.0,0.0,0.0
2025-06-19,904.0,907.0,903.0,906.0,884.623291015625,93042,0.0,0.0,0.0
2025-06-20,906.0,908.0,905.0,906.0,884.623291015625,57820,0.0,0.0,0.0
2025-06-23,909.0,920.0,909.0,919.0,897.316650390625,96209,0.0,0.0,0.0
2025-06-24,919.0,919.0,912.0,914.0,892.4346313476562,34609,0.0,0.0,0.0
2025-06-25,919.0,919.0,912.0,917.0,895.36376953125,19207,0.0,0.0,0.0
2025-06-26,914.0,915.0,912.0,913.0,891.4581909179688,21519,0.0,0.0,0.0
2025-06-27,917.0,918.0,914.0,915.0,893.4110107421875,84952,0.0,0.0,0.0
2025-06-30,918.0,918.0,910.0,913.0,891.4581909179688,64992,0.0,0.0,0.0
2025-07-01,911.0,912.0,908.0,909.0,887.552490234375,95091,0.0,0.0,0.0
2025-07-02,909.0,916.0,909.0,913.0,891.4581909179688,103736,0.0,0.0,0.0
2025-07-03,920.0,923.0,920.0,923.0,901.22216796875,20038,0.0,0.0,0.0
2025-07-04,928.0,930.0,926.0,926.0,904.1514892578125,23132,0.0,0.0,0.0
2025-07-07,930.0,932.0,927.0,932.0,910.0098876953125,45223,0.0,0.0,0.0
2025-07-08,931.0,936.0,931.0,935.0,912.9391479492188,63080,0.0,0.0,0.0
2025-07-09,933.0,940.0,933.0,938.0,915.8683471679688,49100,0.0,0.0,0.0
2025-07-10,940.0,941.0,937.0,939.0,921.7581787109375,37399,5.0,0.0,0.0
2025-07-11,942.0,949.0,942.0,948.0,930.5928955078125,28400,0.0,0.0,0.0
2025-07-14,946.0,946.0,941.0,944.0,926.6663208007812,64844,0.0,0.0,0.0
2025-07-15,944.0,946.0,944.0,945.0,927.64794921875,24301,0.0,0.0,0.0
2025-07-16,946.0,948.0,944.0,946.0,928.629638671875,17358,0.0,0.0,0.0
2025-07-17,945.0,948.0,943.0,948.0,930.5928955078125,17736,0.0,0.0,0.0
2025-07-18,950.0,958.0,950.0,957.0,939.4276123046875,31006,0.0,0.0,0.0
2025-07-22,946.0,947.0,944.0,947.0,929.6112670898438,47763,0.0,0.0,0.0
2025-07-23,945.0,945.0,938.0,942.0,924.7030639648438,92258,0.0,0.0,0.0
2025-07-24,940.0,940.0,935.0,937.0,919.7948608398438,69691,0.0,0.0,0.0
2025-07-25,943.0,945.0,941.0,942.0,924.7030639648438,29785,0.0,0.0,0.0
2025-07-28,949.0,952.0,946.0,952.0,934.5194091796875,28378,0.0,0.0,0.0
2025-07-29,951.0,953.0,950.0,951.0,933.5377807617188,28336,0.0,0.0,0.0
2025-07-30,954.0,955.0,952.0,954.0,936.4827880859375,17712,0.0,0.0,0.0
2025-07-31,956.0,961.0,956.0,957.0,939.4276123046875,57828,0.0,0.0,0.0
2025-08-01,968.0,969.0,965.0,967.0,949.2439575195312,24814,0.0,0.0,0.0
2025-08-04,949.0,951.0,946.0,950.0,932.5562133789062,54157,0.0,0.0,0.0
2025-08-05,950.0,952.0,948.0,951.0,933.5377807617188,30352,0.0,0.0,0.0
2025-08-06,952.0,955.0,951.0,953.0,935.5010375976562,21694,0.0,0.0,0.0
2025-08-07,947.0,950.0,945.0,945.0,927.64794921875,37353,0.0,0.0,0.0
2025-08-08,943.0,946.0,941.0,943.0,925.6846923828125,20389,4.0,0.0,0.0
2025-08-12,951.0,955.0,951.0,952.0,938.5003051757812,72102,0.0,0.0,0.0
2025-08-13,957.0,958.0,954.0,957.0,943.429443359375,32023,0.0,0.0,0.0
2025-08-14,956.0,956.0,950.0,951.0,937.5145263671875,17459,0.0,0.0,0.0
2025-08-15,954.0,959.0,954.0,957.0,943.429443359375,37325,0.0,0.0,0.0
2025-08-18,958.0,958.0,955.0,956.0,942.443603515625,32602,0.0,0.0,0.0
2025-08-19,960.0,962.0,958.0,959.0,945.401123046875,40638,0.0,0.0,0.0
2025-08-20,963.0,963.0,959.0,959.0,945.401123046875,16091,0.0,0.0,0.0
2025-08-21,960.0,961.0,958.0,960.0,946.3868408203125,5154,0.0,0.0,0.0
2025-08-22,963.0,967.0,962.0,965.0,951.3159790039062,31790,0.0,0.0,0.0
2025-08-25,966.0,967.0,964.0,965.0,951.3159790039062,22074,0.0,0.0,0.0
2025-08-26,965.0,967.0,959.0,965.0,951.3159790039062,66591,0.0,0.0,0.0
2025-08-27,964.0,967.0,963.0,965.0,951.3159790039062,16660,0.0,0.0,0.0
2025-08-28,964.0,965.0,962.0,964.0,950.3302001953125,15993,0.0,0.0,0.0
2025-08-29,961.0,962.0,960.0,961.0,947.3727416992188,19307,0.0,0.0,0.0
2025-09-01,958.0,959.0,954.0,954.0,940.4720458984375,35374,0.0,0.0,0.0
2025-09-02,955.0,960.0,954.0,960.0,946.3868408203125,22860,0.0,0.0,0.0
2025-09-03,964.0,969.0,964.0,966.0,952.3018188476562,76278,0.0,0.0,0.0
2025-09-04,966.0,967.0,964.0,966.0,952.3018188476562,18580,0.0,0.0,0.0
2025-09-05,969.0,971.0,968.0,971.0,957.2308959960938,149960,0.0,0.0,0.0
2025-09-08,976.0,979.0,974.0,976.0,962.1600341796875,63450,0.0,0.0,0.0
2025-09-09,971.0,974.0,965.0,968.0,954.2734985351562,36699,0.0,0.0,0.0
2025-09-10,968.0,970.0,968.0,969.0,960.2191162109375,21182,5.0,0.0,0.0
2025-09-11,970.0,971.0,956.0,971.0,962.200927734375,71693,0.0,0.0,0.0
2025-09-12,973.0,977.0,973.0,976.0,967.1556396484375,25756,0.0,0.0,0.0
2025-09-16,977.0,980.0,975.0,977.0,968.1466064453125,42175,0.0,0.0,0.0
2025-09-17,977.0,977.0,971.0,974.0,965.1737670898438,32795,0.0,0.0,0.0
2025-09-18,974.0,982.0,974.0,982.0,973.101318359375,35679,0.0,0.0,0.0
2025-09-19,982.0,986.0,979.0,980.0,971.119384765625,27469,0.0,0.0,0.0
2025-09-22,982.0,985.0,982.0,984.0,975.0831298828125,41148,0.0,0.0,0.0
2025-09-24,982.0,982.0,978.0,982.0,973.101318359375,33520,0.0,0.0,0.0
2025-09-25,982.0,984.0,981.0,981.0,972.1103515625,27893,0.0,0.0,0.0
2025-09-26,981.0,983.0,981.0,981.0,972.1103515625,19002,0.0,0.0,0.0
2025-09-29,985.0,985.0,979.0,979.0,970.12841796875,45810,0.0,0.0,0.0
2025-09-30,979.0,979.0,973.0,975.0,966.1646728515625,31317,0.0,0.0,0.0
2025-10-01,972.0,972.0,960.0,960.0,951.3005981445312,58863,0.0,0.0,0.0
2025-10-02,967.0,973.0,967.0,970.0,961.2100219726562,21319,0.0,0.0,0.0
2025-10-03,971.0,975.0,970.0,975.0,966.1646728515625,52176,0.0,0.0,0.0
2025-10-06,983.0,990.0,983.0,989.0,980.037841796875,133411,0.0,0.0,0.0
2025-10-07,990.0,993.0,990.0,993.0,984.0016479492188,46314,0.0,0.0,0.0
2025-10-08,998.0,1006.0,998.0,1004.0,994.9019165039062,73816,0.0,0.0,0.0
2025-10-09,1004.0,1005.0,1000.0,1005.0,995.8928833007812,56592,0.0,0.0,0.0
2025-10-10,1000.0,1001.0,995.0,997.0,991.9132690429688,27790,4.0,0.0,0.0
2025-10-14,986.0,990.0,980.0,985.0,979.9744873046875,155860,0.0,0.0,0.0
2025-10-15,989.0,989.0,982.0,984.0,978.9796142578125,40394,0.0,0.0,0.0
2025-10-16,987.0,987.0,981.0,986.0,980.9693603515625,48235,0.0,0.0,0.0
2025-10-17,977.0,977.0,968.0,968.0,963.0612182617188,169792,0.0,0.0,0.0
2025-10-20,976.0,980.0,976.0,978.0,973.0101928710938,91465,0.0,0.0,0.0
2025-10-21,985.0,990.0,984.0,985.0,979.9744873046875,83225,0.0,0.0,0.0
2025-10-22,990.0,994.0,988.0,994.0,988.9285888671875,57328,0.0,0.0,0.0
2025-10-23,990.0,995.0,989.0,991.0,985.9439086914062,27235,0.0,0.0,0.0
2025-10-27,1000.0,1004.0,1000.0,1002.0,996.8877563476562,73419,0.0,0.0,0.0
2025-10-28,1000.0,1002.0,995.0,996.0,990.9183959960938,28444,0.0,0.0,0.0
2025-10-29,997.0,999.0,991.0,998.0,992.9081420898438,69117,0.0,0.0,0.0
2025-10-30,997.0,999.0,993.0,996.0,990.9183959960938,93689,0.0,0.0,0.0
2025-10-31,1000.0,1000.0,996.0,1000.0,994.89794921875,68870,0.0,0.0,0.0
2025-11-04,1000.0,1000.0,986.0,986.0,980.9693603515625,129173,0.0,0.0,0.0
2025-11-05,986.0,987.0,980.0,986.0,980.9693603515625,41527,0.0,0.0,0.0
2025-11-06,990.0,993.0,988.0,990.0,984.948974609375,34094,0.0,0.0,0.0
2025-11-07,983.0,983.0,975.0,980.0,975.0,98071,0.0,0.0,0.0
2025-11-10,980.0,987.0,980.0,987.0,987.0,75154,5.0,0.0,0.0
2025-11-11,987.0,994.0,987.0,992.0,992.0,24221,0.0,0.0,0.0
2025-11-12,992.0,996.0,990.0,996.0,996.0,44594,0.0,0.0,0.0
2025-11-13,996.0,997.0,993.0,995.0,995.0,85355,0.0,0.0,0.0
2025-11-14,987.0,989.0,982.0,982.0,982.0,62282,0.0,0.0,0.0
2025-11-17,983.0,987.0,982.0,987.0,987.0,110633,0.0,0.0,0.0
2025-11-18,983.0,983.0,976.0,979.0,979.0,94720,0.0,0.0,0.0
2025-11-19,977.0,981.0,977.0,980.0,980.0,77905,0.0,0.0,0.0
2025-11-20,985.0,998.0,985.0,998.0,998.0,169214,0.0,0.0,0.0
2025-11-21,985.0,985.0,981.0,981.0,981.0,69403,0.0,0.0,0.0
2025-11-25,981.0,987.0,981.0,984.0,984.0,148214,0.0,0.0,0.0
2025-11-26,989.0,991.0,987.0,991.0,991.0,96858,0.0,0.0,0.0
2025-11-27,994.0,995.0,992.0,993.0,993.0,64462,0.0,0.0,0.0
2025-11-28,996.0,997.0,992.0,993.0,993.0,67776,0.0,0.0,0.0
2025-12-01,995.0,995.0,985.0,987.0,987.0,217696,0.0,0.0,0.0
2025-12-02,985.0,990.0,985.0,988.0,988.0,124935,0.0,0.0,0.0
2025-12-03,990.0,995.0,990.0,993.0,993.0,41734,0.0,0.0,0.0
