Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-07-11,39886.5390625,39957.80078125,39497.69921875,39569.6796875,39569.6796875,115900000,0.0,0.0
2025-07-14,39416.1015625,39608.01953125,39288.8984375,39459.62109375,39459.62109375,91500000,0.0,0.0
2025-07-15,39525.828125,39678.01953125,39379.3203125,39678.01953125,39678.01953125,98800000,0.0,0.0
2025-07-16,39734.73828125,39923.609375,39520.9609375,39663.3984375,39663.3984375,96400000,0.0,0.0
2025-07-17,39492.01953125,39910.9609375,39370.4296875,39901.19140625,39901.19140625,101500000,0.0,0.0
2025-07-18,40072.390625,40087.58984375,39745.421875,39819.109375,39819.109375,92000000,0.0,0.0
2025-07-22,39864.62890625,40275.890625,39586.53125,39774.921875,39774.921875,112100000,0.0,0.0
2025-07-23,40189.1796875,41342.58984375,40087.859375,41171.3203125,41171.3203125,221100000,0.0,0.0
2025-07-24,41657.98046875,42065.828125,41554.1796875,41826.33984375,41826.33984375,149400000,0.0,0.0
2025-07-25,41760.578125,41773.69921875,41389.7890625,41456.23046875,41456.23046875,117500000,0.0,0.0
2025-07-28,41515.91015625,41534.2109375,40997.87109375,40998.26953125,40998.26953125,106500000,0.0,0.0
2025-07-29,40767.76953125,40792.8515625,40563.53125,40674.55078125,40674.55078125,101000000,0.0,0.0
2025-07-30,40744.53125,40744.53125,40556.609375,40654.69921875,40654.69921875,123700000,0.0,0.0
2025-07-31,40693.0,41151.25,40639.3203125,41069.8203125,41069.8203125,134800000,0.0,0.0
2025-08-01,41029.83984375,41064.73046875,40588.171875,40799.6015625,40799.6015625,148400000,0.0,0.0
2025-08-04,40118.80859375,40332.25,39850.51953125,40290.69921875,40290.69921875,130800000,0.0,0.0
2025-08-05,40521.0,40649.37890625,40421.87890625,40549.5390625,40549.5390625,145300000,0.0,0.0
2025-08-06,40430.4609375,40850.890625,40423.12890625,40794.859375,40794.859375,145500000,0.0,0.0
2025-08-07,40668.19140625,41164.109375,40668.19140625,41059.1484375,41059.1484375,154000000,0.0,0.0
2025-08-08,41283.69921875,42033.921875,41248.05078125,41820.48046875,41820.48046875,183300000,0.0,0.0
2025-08-12,42098.3203125,42999.7109375,42083.578125,42718.171875,42718.171875,176100000,0.0,0.0
2025-08-13,43090.91015625,43451.4609375,43008.19921875,43274.671875,43274.671875,154100000,0.0,0.0
2025-08-14,43129.1796875,43199.828125,42606.73046875,42649.26171875,42649.26171875,127800000,0.0,0.0
2025-08-15,42866.37890625,43405.4296875,42736.859375,43378.30859375,43378.30859375,134500000,0.0,0.0
2025-08-18,43452.8984375,43835.12109375,43390.21875,43714.30859375,43714.30859375,124200000,0.0,0.0
2025-08-19,43846.55078125,43876.421875,43411.96875,43546.2890625,43546.2890625,117100000,0.0,0.0
2025-08-20,43400.66015625,43425.78125,42724.1484375,42888.55078125,42888.55078125,116700000,0.0,0.0
2025-08-21,42783.26171875,42926.109375,42564.30078125,42610.171875,42610.171875,103100000,0.0,0.0
2025-08-22,42629.80859375,42720.5703125,42331.390625,42633.2890625,42633.2890625,97800000,0.0,0.0
2025-08-25,42977.26953125,43201.421875,42681.37109375,42807.8203125,42807.8203125,102200000,0.0,0.0
2025-08-26,42619.66015625,42703.26953125,42137.62109375,42394.3984375,42394.3984375,162600000,0.0,0.0
2025-08-27,42476.08984375,42628.0390625,42270.1796875,42520.26953125,42520.26953125,108400000,0.0,0.0
2025-08-28,42308.140625,42828.7890625,42299.7890625,42828.7890625,42828.7890625,112700000,0.0,0.0
2025-08-29,42774.2890625,42807.03125,42611.30859375,42718.46875,42718.46875,114900000,0.0,0.0
2025-09-01,42362.7109375,42454.98828125,41835.171875,42188.7890625,42188.7890625,96600000,0.0,0.0
2025-09-02,42299.62890625,42473.671875,42084.78125,42310.48828125,42310.48828125,99800000,0.0,0.0
2025-09-03,42085.66015625,42293.5390625,41863.19921875,41938.890625,41938.890625,130200000,0.0,0.0
2025-09-04,42093.69921875,42608.80078125,42066.58984375,42580.26953125,42580.26953125,110300000,0.0,0.0
2025-09-05,42983.46875,43220.94140625,42783.5390625,43018.75,43018.75,118300000,0.0,0.0
2025-09-08,43451.0703125,43838.6015625,43343.578125,43643.80859375,43643.80859375,115500000,0.0,0.0
2025-09-09,43907.55078125,44185.73046875,43452.73828125,43459.2890625,43459.2890625,117500000,0.0,0.0
2025-09-10,43513.16015625,43848.76953125,43509.01953125,43837.671875,43837.671875,115700000,0.0,0.0
2025-09-11,43876.21875,44396.94921875,43870.5390625,44372.5,44372.5,107300000,0.0,0.0
2025-09-12,44803.30078125,44888.01953125,44548.5703125,44768.12109375,44768.12109375,124900000,0.0,0.0
2025-09-16,44948.8515625,45055.37890625,44616.3203125,44902.26953125,44902.26953125,111700000,0.0,0.0
2025-09-17,44751.83984375,45033.33984375,44612.0703125,44790.37890625,44790.37890625,104600000,0.0,0.0
2025-09-18,44910.5,45508.671875,44815.3984375,45303.4296875,45303.4296875,113700000,0.0,0.0
2025-09-19,45634.2890625,45852.75,44495.4609375,45045.80859375,45045.80859375,208600000,0.0,0.0
2025-09-22,45193.76953125,45757.73828125,45193.76953125,45493.66015625,45493.66015625,116600000,0.0,0.0
2025-09-24,45484.41015625,45693.28125,45205.46875,45630.30859375,45630.30859375,131700000,0.0,0.0
2025-09-25,45600.0703125,45824.69140625,45503.30859375,45754.9296875,45754.9296875,127200000,0.0,0.0
2025-09-26,45634.19921875,45766.76953125,45354.98828125,45354.98828125,45354.98828125,147500000,0.0,0.0
2025-09-29,45113.2890625,45152.69921875,44890.19921875,45043.75,45043.75,130500000,0.0,0.0
2025-09-30,45054.9609375,45126.23046875,44733.6015625,44932.62890625,44932.62890625,160600000,0.0,0.0
2025-10-01,44831.94921875,44874.421875,44357.6484375,44550.8515625,44550.8515625,136700000,0.0,0.0
2025-10-02,44736.03125,45125.9609375,44659.21875,44936.73046875,44936.73046875,131100000,0.0,0.0
2025-10-03,45042.5390625,45778.66015625,45042.5390625,45769.5,45769.5,117600000,0.0,0.0
2025-10-06,46636.0703125,48150.0390625,46592.98828125,47944.76171875,47944.76171875,178300000,0.0,0.0
2025-10-07,48281.12109375,48527.328125,47904.37890625,47950.87890625,47950.87890625,154200000,0.0,0.0
2025-10-08,47925.21875,48181.12109375,47728.26953125,47734.98828125,47734.98828125,142200000,0.0,0.0
2025-10-09,48035.421875,48597.078125,47995.21875,48580.44140625,48580.44140625,138500000,0.0,0.0
2025-10-10,48510.71875,48510.71875,47962.609375,48088.80078125,48088.80078125,150700000,0.0,0.0
2025-10-14,47446.73046875,47865.6484375,46544.05078125,46847.3203125,46847.3203125,170300000,0.0,0.0
2025-10-15,47002.30078125,47774.828125,46910.828125,47672.671875,47672.671875,118400000,0.0,0.0
2025-10-16,48107.44140625,48317.33984375,47937.71875,48277.73828125,48277.73828125,121100000,0.0,0.0
2025-10-17,47820.96875,48140.8984375,47494.30859375,47582.1484375,47582.1484375,124800000,0.0,0.0
2025-10-20,48332.7109375,49185.5,48254.828125,49185.5,49185.5,121000000,0.0,0.0
2025-10-21,49675.4296875,49945.94921875,49127.19921875,49316.05859375,49316.05859375,124500000,0.0,0.0
2025-10-22,49252.03125,49458.28125,48613.69921875,49307.7890625,49307.7890625,141100000,0.0,0.0
2025-10-23,48866.578125,48866.578125,48399.05078125,48641.609375,48641.609375,107600000,0.0,0.0
2025-10-24,49095.26953125,49435.30859375,48965.78125,49299.6484375,49299.6484375,109100000,0.0,0.0
2025-10-27,49905.80078125,50549.6015625,49838.98046875,50512.3203125,50512.3203125,122100000,0.0,0.0
2025-10-28,50357.1484375,50485.80078125,50107.76953125,50219.1796875,50219.1796875,119500000,0.0,0.0
2025-10-29,50453.640625,51412.96875,50365.62109375,51307.6484375,51307.6484375,129700000,0.0,0.0
2025-10-30,51146.26953125,51657.28125,50972.55859375,51325.609375,51325.609375,230900000,0.0,0.0
2025-10-31,51629.80078125,52411.33984375,51613.03125,52411.33984375,52411.33984375,180300000,0.0,0.0
2025-11-04,52294.30859375,52636.87109375,51497.19921875,51497.19921875,51497.19921875,190100000,0.0,0.0
2025-11-05,51291.390625,51422.421875,49073.578125,50212.26953125,50212.26953125,219700000,0.0,0.0
2025-11-06,50792.55078125,51248.28125,50594.19140625,50883.6796875,50883.6796875,171300000,0.0,0.0
2025-11-07,50524.30859375,50642.7890625,49640.55859375,50276.37109375,50276.37109375,146700000,0.0,0.0
2025-11-10,50645.26953125,50969.5,50392.44140625,50911.76171875,50911.76171875,129700000,0.0,0.0
2025-11-11,51314.0390625,51513.16015625,50581.171875,50842.9296875,50842.9296875,125900000,0.0,0.0
2025-11-12,50988.53125,51072.26171875,50537.5,51063.30859375,51063.30859375,150400000,0.0,0.0
2025-11-13,51013.1484375,51338.890625,50954.26953125,51281.828125,51281.828125,135700000,0.0,0.0
2025-11-14,50767.73828125,50767.73828125,50246.6015625,50376.53125,50376.53125,149300000,0.0,0.0
2025-11-17,50282.390625,50398.16015625,49845.859375,50323.91015625,50323.91015625,126000000,0.0,0.0
2025-11-18,49812.94921875,49971.55078125,48661.51953125,48702.98046875,48702.98046875,137400000,0.0,0.0
2025-11-19,48822.87890625,49087.109375,48235.30078125,48537.69921875,48537.69921875,136500000,0.0,0.0
2025-11-20,49129.2890625,50574.8203125,49113.390625,49823.94140625,49823.94140625,139400000,0.0,0.0
2025-11-21,49251.26171875,49459.58984375,48490.03125,48625.87890625,48625.87890625,212200000,0.0,0.0
2025-11-25,49113.8203125,49182.3203125,48511.94921875,48659.51953125,48659.51953125,144500000,0.0,0.0
2025-11-27,49868.7890625,50322.140625,49865.171875,50178.5,50178.5,0,0.0,0.0
