Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2025-07-23,54.880001068115234,54.939998626708984,54.709999084472656,54.93000030517578,52.703433990478516,4347100,0.0,0.0,0.0
2025-07-24,55.0099983215332,55.09000015258789,54.95000076293945,55.02000045776367,52.7897834777832,4534400,0.0,0.0,0.0
2025-07-25,55.05500030517578,55.15999984741211,54.9900016784668,55.08000183105469,52.847354888916016,4430400,0.0,0.0,0.0
2025-07-28,55.220001220703125,55.27000045776367,55.17499923706055,55.2599983215332,53.02005386352539,6316600,0.0,0.0,0.0
2025-07-29,55.439998626708984,55.45000076293945,55.16999816894531,55.20000076293945,52.96249008178711,6570500,0.0,0.0,0.0
2025-07-30,55.275001525878906,55.34000015258789,55.0099983215332,55.22999954223633,52.99127197265625,7059900,0.0,0.0,0.0
2025-07-31,55.630001068115234,55.63999938964844,55.0099983215332,55.099998474121094,52.866539001464844,9643700,0.0,0.0,0.0
2025-08-01,54.2599983215332,54.29999923706055,53.599998474121094,53.810001373291016,52.04823684692383,9385900,0.444,0.0,0.0
2025-08-04,54.15999984741211,54.650001525878906,54.15999984741211,54.63999938964844,52.85105895996094,7055800,0.0,0.0,0.0
2025-08-05,54.720001220703125,54.77000045776367,54.29999923706055,54.34000015258789,52.56088638305664,6749400,0.0,0.0,0.0
2025-08-06,54.400001525878906,54.869998931884766,54.37099838256836,54.81999969482422,53.02517318725586,5897900,0.0,0.0,0.0
2025-08-07,55.09000015258789,55.220001220703125,54.70000076293945,54.97999954223633,53.179927825927734,6510400,0.0,0.0,0.0
2025-08-08,55.029998779296875,55.33000183105469,55.029998779296875,55.31999969482422,53.50879669189453,6085500,0.0,0.0,0.0
2025-08-11,55.310001373291016,55.45000076293945,55.220001220703125,55.279998779296875,53.47011184692383,5441100,0.0,0.0,0.0
2025-08-12,55.40999984741211,55.72999954223633,55.33000183105469,55.72999954223633,53.90538024902344,4753800,0.0,0.0,0.0
2025-08-13,55.849998474121094,55.86000061035156,55.685001373291016,55.75,53.924720764160156,4625200,0.0,0.0,0.0
2025-08-14,55.68000030517578,55.84000015258789,55.65999984741211,55.810001373291016,53.98276138305664,4537700,0.0,0.0,0.0
2025-08-15,55.900001525878906,55.900001525878906,55.70000076293945,55.79999923706055,53.973087310791016,3914600,0.0,0.0,0.0
2025-08-18,55.779998779296875,55.869998931884766,55.72999954223633,55.86000061035156,54.03112030029297,3786400,0.0,0.0,0.0
2025-08-19,55.86000061035156,55.869998931884766,55.29999923706055,55.380001068115234,53.566837310791016,5439600,0.0,0.0,0.0
2025-08-20,55.36000061035156,55.36000061035156,54.52000045776367,55.13999938964844,53.334693908691406,6536800,0.0,0.0,0.0
2025-08-21,55.040000915527344,55.196998596191406,54.72999954223633,54.939998626708984,53.1412467956543,4136200,0.0,0.0,0.0
2025-08-22,55.060001373291016,55.77000045776367,54.91999816894531,55.66999816894531,53.84734344482422,5962800,0.0,0.0,0.0
2025-08-25,55.599998474121094,55.83000183105469,55.5,55.61000061035156,53.789306640625,4447700,0.0,0.0,0.0
2025-08-26,55.60499954223633,55.83000183105469,55.486000061035156,55.810001373291016,53.98276138305664,4844700,0.0,0.0,0.0
2025-08-27,55.775001525878906,55.90999984741211,55.650001525878906,55.869998931884766,54.040794372558594,4900700,0.0,0.0,0.0
2025-08-28,55.95000076293945,56.25600051879883,55.86000061035156,56.20000076293945,54.3599853515625,6074400,0.0,0.0,0.0
2025-08-29,56.09000015258789,56.095001220703125,55.53499984741211,55.68000030517578,53.85701370239258,8994600,0.0,0.0,0.0
2025-09-02,54.61000061035156,54.91899871826172,54.33000183105469,54.900001525878906,53.5274658203125,6178600,0.442,0.0,0.0
2025-09-03,55.20000076293945,55.38999938964844,54.970001220703125,55.25,53.86871337890625,4833500,0.0,0.0,0.0
2025-09-04,55.349998474121094,55.68000030517578,55.21699905395508,55.65999984741211,54.268463134765625,5557300,0.0,0.0,0.0
2025-09-05,55.970001220703125,56.02000045776367,55.43000030517578,55.779998779296875,54.385459899902344,5974600,0.0,0.0,0.0
2025-09-08,55.939998626708984,56.099998474121094,55.93000030517578,56.02000045776367,54.61946105957031,5301400,0.0,0.0,0.0
2025-09-09,56.04999923706055,56.20000076293945,55.900001525878906,56.16999816894531,54.765708923339844,3926000,0.0,0.0,0.0
2025-09-10,56.380001068115234,56.380001068115234,56.08000183105469,56.20000076293945,54.79496383666992,4190200,0.0,0.0,0.0
2025-09-11,56.380001068115234,56.459999084472656,56.290000915527344,56.40999984741211,54.99971389770508,3838100,0.0,0.0,0.0
