ticker,market,prep_time_min,period_months,loss_amount,win_prob,rr_ratio,vol_std,comment,win_prob_effective,loss_prob_effective,rr_ratio_effective,win_amount_effective,loss_amount_effective,expected_profit,expected_profit_annualized,TRI3_yen_per_min_per_year,stability_factor,TRI5_score,flag_pick
2914.T,jp,45,6,30000,0.40,2.0,15000,JT 高配当＋半年スイング候補,0.4000,0.6000,2.000,60000.0,30000.0,6000.0,12000.0,266.67,4.0000,1066.6667,
8058.T,jp,40,6,25000,0.40,2.0,18000,三菱商事 商社株・半年スイング,0.4000,0.6000,2.000,50000.0,25000.0,5000.0,10000.0,250.00,2.7778,694.4444,
5713.T,jp,60,3,40000,0.35,2.0,30000,住友金属鉱山 資源株・ボラ高め,0.3500,0.6500,2.000,80000.0,40000.0,2000.0,8000.0,133.33,2.6667,355.5556,
LITE,us,60,1,30000,0.35,2.0,60000,LITE AI光学関連・短期スイング,0.3500,0.6500,2.000,60000.0,30000.0,1500.0,18000.0,300.00,1.0000,300.0000,
IREN,us,70,1,30000,0.30,2.5,70000,IREN BTC連動・高ボラ短期,0.3000,0.7000,2.500,75000.0,30000.0,1500.0,18000.0,257.14,1.0714,275.5102,
4063.T,jp,55,4,35000,0.35,2.0,28000,信越化学 成長株・中期スイング,0.3500,0.6500,2.000,70000.0,35000.0,1750.0,5250.0,95.45,2.5000,238.6364,
6339.T,jp,60,3,30000,0.35,2.0,32000,新東工業 攻め枠・値動き大きい,0.3500,0.6500,2.000,60000.0,30000.0,1500.0,6000.0,100.00,1.8750,187.5000,
MSFT,us,50,3,35000,0.33,2.0,40000,MSFT コアAI・中期スイング,0.3300,0.6700,2.000,70000.0,35000.0,-350.0,-1400.0,-28.00,1.7500,-49.0000,
1540.T,jp,40,4,30000,0.35,1.8,25000,純金ETF 中期リスクヘッジ＋値幅取り,0.3500,0.6500,1.800,54000.0,30000.0,-600.0,-1800.0,-45.00,2.1600,-97.2000,
QQQI,us,35,3,25000,0.33,1.8,30000,QQQI NASDAQカバコ ETF,0.3300,0.6700,1.800,45000.0,25000.0,-1900.0,-7600.0,-217.14,1.5000,-325.7143,
BE,us,40,3,25000,0.30,2.0,35000,BE クリーンエネ・中期トレード,0.3000,0.7000,2.000,50000.0,25000.0,-2500.0,-10000.0,-250.00,1.4286,-357.1429,
1329.T,jp,30,1,25000,0.35,1.8,20000,日経225ETF 短期〜1ヶ月スイング,0.3500,0.6500,1.800,45000.0,25000.0,-500.0,-6000.0,-200.00,2.2500,-450.0000,
GLDM,us,40,3,30000,0.33,1.8,25000,GLDM ゴールドETF・為替込み,0.3300,0.6700,1.800,54000.0,30000.0,-2280.0,-9120.0,-228.00,2.1600,-492.4800,
