ticker,flag_pick,action_tag,RHI6_score,TRI6_score,TRI5_score,TRI3,expected_profit,loss_amount_effective,risk_span_effective,max_dd_ratio_effective,comment,market,prep_time_min,period_months,loss_amount,win_prob,rr_ratio,risk_span,max_dd_ratio,position_qty,pl_unrealized,category,auto_filled,expected_R,dd_factor,win_prob_eff,rr_ratio_eff,dash_name,dash_close,dash_pct_1d,dash_stress_v,dash_shk_act,dash_shk_F,dash_zscore,dash_signal,dash_dahs_v,dash_regime_v,dash_vwap20,dash_vp_poc,dash_rsi
GLDM,1,HOLD,544,576,720,600,6000,30000,25000,0.20,GLDM ゴールドETF・為替込み,us,40,3,30000,0.40,2.0,25000,0.20,0,0,GOLD,0,0.2000,0.80,0.4,2.0,Gold,83.33,-0.0064,0.0234,hold,NORMAL,1.287,HOLD,2,0.0,81.3,81.44,51.03
2914.T,1,HOLD,413,437,533,267,6000,30000,15000,0.18,JT 高配当＋半年スイング候補,jp,45,6,30000,0.40,2.0,15000,0.18,0,0,JP_HIGH_DIV,0,0.2000,0.82,0.4,2.0,JT,5822.0,-0.0172,0.0576,hold,NORMAL,0.779,HOLD,0,0.0,5695.02,4938.56,44.24
AMZN,1,BUY,382,368,490,560,7000,35000,40000,0.25,AMAZON コアAI・中期スイング,us,50,3,35000,0.40,2.0,40000,0.25,10,3022,MEGATECH,0,0.2000,0.75,0.4,2.0,Amazon,234.37,0.0023,0.082,hold,NORMAL,-0.073,BUY,4,0.0,233.73,222.43,61.09
MSFT,1,BUY,382,368,490,560,7000,35000,40000,0.25,MSFT コアAI・中期スイング,us,50,3,35000,0.40,2.0,40000,0.25,0,0,MEGATECH,0,0.2000,0.75,0.4,2.0,MSFT,490.06,0.0067,0.1254,hold,NORMAL,-0.371,BUY,3,1.0,493.85,517.3,47.38
LITE,1,HOLD,351,371,675,1350,6750,30000,60000,0.45,LITE AI光学関連・短期スイング,us,60,1,30000,0.35,2.5,60000,0.45,0,0,MEGATECH,0,0.2250,0.55,0.35,2.5,LITE,303.19,-0.0476,0.175,hold,NORMAL,1.174,HOLD,2,0.0,257.51,160.58,32.5
NVDA,1,BUY,332,336,491,687,7130,33333,46667,0.32,,us,53.333333333333336,2.3333333333333335,33333.333333333336,0.3833333333333333,2.1666666666666665,46666.666666666664,0.32,,,MEGATECH,1,0.2139,0.68,0.3833333333333333,2.1666666666666665,Nvidia,181.36,0.0086,0.2485,hold,NORMAL,-0.702,BUY,4,1.0,185.62,177.18,65.58
WMT,1,PART_TRIM,294,368,490,560,7000,35000,40000,0.25,Wolmart・中期スイング,us,50,3,35000,0.40,2.0,40000,0.25,0,0,OTHER,0,0.2000,0.75,0.4,2.0,Wolmart,112.41,0.0079,0.3186,hold,NORMAL,2.122,TAKE_PROFIT,5,,,,75.73
8316.T,1,BUY,236,227,332,313,4864,32000,30200,0.32,,jp,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.32,,,OTHER,1,0.1520,0.68,0.36000000000000004,2.2,三井住友F,4830.0,-0.0205,0.1105,hold,NORMAL,1.559,BUY,4,0.0,4471.67,4078.69,61.05
1489.T,1,HOLD,227,227,332,313,4864,32000,30200,0.32,,jp,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.32,,,OTHER,1,0.1520,0.68,0.36000000000000004,2.2,日経平均高配当ETF,2747.0,-0.0029,0.2728,hold,NORMAL,0.983,HOLD,1,,,,45.65
^RUT,1,HOLD,227,227,332,313,4864,32000,30200,0.32,,us,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.32,,,OTHER,1,0.1520,0.68,0.36000000000000004,2.2,Russell_2000,2465.14,-0.0017,0.3378,hold,NORMAL,0.821,HOLD,2,,,,33.11
NBIS,1,HOLD,215,227,332,313,4864,32000,30200,0.32,,us,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.32,,,OTHER,1,0.1520,0.68,0.36000000000000004,2.2,NBIS,96.4,-0.0369,0.0277,hold,NORMAL,-0.021,HOLD,3,0.0,94.67,95.22,53.81
^VIX,1,HOLD,215,227,332,313,4864,32000,30200,0.32,,us,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.32,,,OTHER,1,0.1520,0.68,0.36000000000000004,2.2,恐怖指数（VIX）,16.49,-0.006,0.19962222222222223,hold,NORMAL,-1.043,HOLD,0,0.0,,,37.44
BE,1,BUY,204,196,357,500,5000,25000,35000,0.45,BE クリーンエネ・中期トレード,us,40,3,25000,0.30,3.0,35000,0.45,1,0,OTHER,0,0.2000,0.55,0.3,3.0,BE,105.04,0.0614,0.0845,hold,NORMAL,-0.473,BUY,3,0.0,109.58,85.94,45.21
8058.T,1,PART_TRIM,197,260,347,250,5000,25000,18000,0.25,三菱商事 商社株・半年スイング,jp,40,6,25000,0.40,2.0,18000,0.25,100,80500,OTHER,0,0.2000,0.75,0.4,2.0,三菱商事,3683.0,-0.0022,0.0729,hold,NORMAL,0.232,TAKE_PROFIT,4,0.0,3651.86,3570.44,57.29
SPY,1,PART_TRIM,191,227,332,313,4864,32000,30200,0.32,,us,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.32,,,OTHER,1,0.1520,0.68,0.36000000000000004,2.2,SPY,681.48,0.0019,0.1735,hold,NORMAL,0.972,TAKE_PROFIT,4,2.0,670.29,671.18,47.52
^DJI,1,PART_TRIM,191,227,332,313,4864,32000,30200,0.32,,us,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.32,,,OTHER,1,0.1520,0.68,0.36000000000000004,2.2,ダウ平均指数,47468.65,0.0039,0.1385,hold,NORMAL,0.671,TAKE_PROFIT,3,,,,43.07
^GSPC,1,PART_TRIM,191,227,332,313,4864,32000,30200,0.32,,us,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.32,,,OTHER,1,0.1520,0.68,0.36000000000000004,2.2,SP500,6827.83,0.0025,0.1989,hold,NORMAL,0.945,TAKE_PROFIT,4,,,,47.06
^IXIC,1,PART_TRIM,191,227,332,313,4864,32000,30200,0.32,,us,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.32,,,OTHER,1,0.1520,0.68,0.36000000000000004,2.2,NASDAQ総合,23412.6,0.0059,0.1025,hold,NORMAL,0.931,TAKE_PROFIT,5,,,,56.45
^NDX,1,PART_TRIM,191,227,332,313,4864,32000,30200,0.32,,us,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.32,,,OTHER,1,0.1520,0.68,0.36000000000000004,2.2,NASDAQ100,25555.14,0.0084,0.1627,hold,NORMAL,1.04,TAKE_PROFIT,5,,,,60.87
1496.T,1,PART_TRIM,182,227,332,313,4864,32000,30200,0.32,,jp,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.32,,,OTHER,1,0.1520,0.68,0.36000000000000004,2.2,USD投資適格社債ETF(H),1753.0,-0.0006,0.2632,hold,NORMAL,0.557,TAKE_PROFIT,0,,,,36.84
^N225,1,PART_TRIM,182,227,332,313,4864,32000,30200,0.32,,us,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.32,,,OTHER,1,0.1520,0.68,0.36000000000000004,2.2,日経225先物,49919.71,0.0114,0.2154,hold,NORMAL,-0.097,TAKE_PROFIT,3,,,,69.92
2866.T,1,PART_TRIM,127,227,332,313,4864,32000,30200,0.32,,jp,49.0,3.8,32000.0,0.36000000000000004,2.2,30200.0,0.32,,,OTHER,1,0.1520,0.68,0.36000000000000004,2.2,GX米国優先証券,994.0,0.0051,0.6364,hold,NORMAL,0.848,TAKE_PROFIT,3,,,,81.82
5713.T,1,HOLD,109,116,178,133,2000,40000,30000,0.35,住友金属鉱山 資源株・ボラ高め,jp,60,3,40000,0.35,2.0,30000,0.35,100,15600,OTHER,0,0.0500,0.65,0.35,2.0,住友金属鉱山,5114.0,0.0065,0.0672,hold,NORMAL,0.897,HOLD,2,0.0,4984.56,5096.46,43.28
4063.T,1,HOLD,81,86,119,95,1750,35000,28000,0.28,信越化学 成長株・中期スイング,jp,55,4,35000,0.35,2.0,28000,0.28,100,27300,OTHER,0,0.0500,0.72,0.35,2.0,信越化学,4679.0,-0.0089,0.0271,hold,NORMAL,1.191,HOLD,2,0.0,4566.81,4419.71,53.12
IREN,1,EXIT_OR_TRIM,77,198,441,1029,6000,30000,70000,0.55,IREN BTC連動・高ボラ短期,us,70,1,30000,0.30,3.0,70000,0.55,2,620,HI_VOLA,0,0.2000,0.45,0.3,3.0,IREN,41.11,-0.152,0.4978,CRASH,CRASH,-1.198,LOSS_CUT,1,0.0,52.3,46.56,20.4
6339.T,1,BUY,58,56,94,100,1500,30000,32000,0.40,新東工業 攻め枠・値動き大きい,jp,60,3,30000,0.35,2.0,32000,0.40,0,0,HI_VOLA,0,0.0500,0.60,0.35,2.0,新東工業,1041.0,0.0136,0.0827,hold,NORMAL,1.537,BUY,5,0.0,1003.17,1005.12,56.45
