ticker,close,stress_v,shk_act,shk_F,shk_stat,zscore,signal,dahs_v,regime_v,vwap20,vp_poc,pct_1d,rsi,name
2866.T,994.0,0.6364,hold,NORMAL,OK,0.848,TAKE_PROFIT,3,,,,0.0051,81.82,GX米国優先証券
IREN,41.11,0.4978,CRASH,CRASH,CRASH,-1.198,LOSS_CUT,1,0.0,52.3,46.56,-0.152,20.4,IREN
^RUT,2465.14,0.3378,hold,NORMAL,OK,0.821,HOLD,2,,,,-0.0017,33.11,Russell_2000
WMT,112.41,0.3186,hold,NORMAL,OK,2.122,TAKE_PROFIT,5,,,,0.0079,75.73,Wolmart
1489.T,2747.0,0.2728,hold,NORMAL,OK,0.983,HOLD,1,,,,-0.0029,45.65,日経平均高配当ETF
1496.T,1753.0,0.2632,hold,NORMAL,OK,0.557,TAKE_PROFIT,0,,,,-0.0006,36.84,USD投資適格社債ETF(H)
NVDA,181.36,0.2485,hold,NORMAL,OK,-0.702,BUY,4,1.0,185.62,177.18,0.0086,65.58,Nvidia
JEPI,57.16,0.2402,hold,NORMAL,OK,0.684,HOLD,1,0.0,56.72,56.92,-0.0009,25.98,JEPI
JEPQ,58.47,0.2222,hold,NORMAL,OK,0.757,TAKE_PROFIT,4,0.0,57.65,57.31,0.0053,44.94,JEPQ
QQQI,54.62,0.2216,hold,NORMAL,OK,0.631,TAKE_PROFIT,4,,,,0.0063,61.08,QQQI
^N225,49919.71,0.2154,hold,NORMAL,OK,-0.097,TAKE_PROFIT,3,,,,0.0114,69.92,日経225先物
^GSPC,6827.83,0.1989,hold,NORMAL,OK,0.945,TAKE_PROFIT,4,,,,0.0025,47.06,SP500
1329.T,5190.0,0.1963,hold,NORMAL,OK,-0.106,TAKE_PROFIT,3,,,,0.0131,67.86,日経225ETF
LITE,303.19,0.175,hold,NORMAL,OK,1.174,HOLD,2,0.0,257.51,160.58,-0.0476,32.5,LITE
SPY,681.48,0.1735,hold,NORMAL,OK,0.972,TAKE_PROFIT,4,2.0,670.29,671.18,0.0019,47.52,SPY
1540.T,20045.0,0.1667,hold,NORMAL,OK,0.846,HOLD,1,0.0,19629.92,19467.71,-0.0017,33.33,純金上場信託（1540）
^NDX,25555.14,0.1627,hold,NORMAL,OK,1.04,TAKE_PROFIT,5,,,,0.0084,60.87,NASDAQ100
^DJI,47468.65,0.1385,hold,NORMAL,OK,0.671,TAKE_PROFIT,3,,,,0.0039,43.07,ダウ平均指数
MSFT,490.06,0.1254,hold,NORMAL,OK,-0.371,BUY,3,1.0,493.85,517.3,0.0067,47.38,MSFT
8316.T,4830.0,0.1105,hold,NORMAL,OK,1.559,BUY,4,0.0,4471.67,4078.69,-0.0205,61.05,三井住友F
^IXIC,23412.6,0.1025,hold,NORMAL,OK,0.931,TAKE_PROFIT,5,,,,0.0059,56.45,NASDAQ総合
BE,105.04,0.0845,hold,NORMAL,OK,-0.473,BUY,3,0.0,109.58,85.94,0.0614,45.21,BE
6339.T,1041.0,0.0827,hold,NORMAL,OK,1.537,BUY,5,0.0,1003.17,1005.12,0.0136,56.45,新東工業
AMZN,234.37,0.082,hold,NORMAL,OK,-0.073,BUY,4,0.0,233.73,222.43,0.0023,61.09,Amazon
8058.T,3683.0,0.0729,hold,NORMAL,OK,0.232,TAKE_PROFIT,4,0.0,3651.86,3570.44,-0.0022,57.29,三菱商事
5713.T,5114.0,0.0672,hold,NORMAL,OK,0.897,HOLD,2,0.0,4984.56,5096.46,0.0065,43.28,住友金属鉱山
2914.T,5822.0,0.0576,hold,NORMAL,OK,0.779,HOLD,0,0.0,5695.02,4938.56,-0.0172,44.24,JT
NBIS,96.4,0.0277,hold,NORMAL,OK,-0.021,HOLD,3,0.0,94.67,95.22,-0.0369,53.81,NBIS
4063.T,4679.0,0.0271,hold,NORMAL,OK,1.191,HOLD,2,0.0,4566.81,4419.71,-0.0089,53.12,信越化学
GLDM,83.33,0.0234,hold,NORMAL,OK,1.287,HOLD,2,0.0,81.3,81.44,-0.0064,51.03,Gold
^VIX,16.49,0.19962222222222223,hold,NORMAL,OK,-1.043,HOLD,0,0.0,,,-0.006,37.44,恐怖指数（VIX）
