ticker,signal,score,close,ema10,ema20,slope10,slope20,rsi,rvol20,bb_up,bb_dn,reason,name
SPY,TAKE_PROFIT,4,681.48,681.38,680.19,0.007,0.056,47.52,1.142,683.08,679.49,near +2sigma or rsi>=70 with vol,SPY
8058.T,TAKE_PROFIT,4,3683.0,3685.36,3682.86,0.014,0.002,57.29,0.835,3700.61,3658.29,near +2sigma or rsi>=70 with vol,三菱商事
JEPQ,TAKE_PROFIT,4,58.47,58.4,58.29,0.018,0.048,44.94,2.131,58.76,57.99,near +2sigma or rsi>=70 with vol,JEPQ
6339.T,BUY,5,1041.0,1040.35,1037.36,0.074,0.011,56.45,1.238,1053.82,1017.28,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,新東工業
8316.T,BUY,4,4830.0,4830.98,4812.31,0.031,0.149,61.05,0.685,4918.77,4744.43,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,三井住友F
NVDA,BUY,4,181.36,180.96,180.4,0.109,0.028,65.58,0.479,183.3,176.68,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,Nvidia
AMZN,BUY,4,234.37,234.6,233.37,0.086,0.12,61.09,0.811,237.59,229.19,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,Amazon
BE,BUY,3,105.04,105.37,103.51,0.313,0.425,45.21,0.827,110.18,98.07,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,BE
MSFT,BUY,3,490.06,489.71,488.18,0.04,0.088,47.38,0.748,492.91,485.22,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,MSFT
NBIS,HOLD,3,96.4,98.22,97.01,0.302,0.344,53.81,0.892,102.52,91.88,no clear edge; wait,NBIS
4063.T,HOLD,2,4679.0,4676.19,4673.6,-0.018,0.034,53.12,1.038,4720.44,4639.26,no clear edge; wait,信越化学
5713.T,HOLD,2,5114.0,5102.14,5094.14,-0.021,0.051,43.28,0.701,5169.22,5046.78,no clear edge; wait,住友金属鉱山
GLDM,HOLD,2,83.33,83.2,83.06,-0.018,0.078,51.03,1.099,84.32,82.21,no clear edge; wait,Gold
LITE,HOLD,2,303.19,307.44,306.74,-0.215,0.315,32.5,0.945,326.18,297.77,no clear edge; wait,LITE
1540.T,HOLD,1,20045.0,20098.68,20107.81,-0.045,0.035,33.33,0.598,20439.26,19924.74,no clear edge; wait,純金上場信託（1540）
JEPI,HOLD,1,57.16,57.21,57.28,-0.059,0.002,25.98,0.423,57.99,56.82,no clear edge; wait,JEPI
^VIX,HOLD,0,16.49,16.69,16.83,-0.159,-0.184,37.44,,17.34,16.29,no clear edge; wait,恐怖指数（VIX）
2914.T,HOLD,0,5822.0,5844.91,5860.11,-0.099,-0.015,44.24,0.615,5957.88,5782.22,no clear edge; wait,JT
IREN,LOSS_CUT,1,41.11,44.63,45.74,-0.644,-0.124,20.4,4.15,51.0,42.25,ema10<ema20 & close<ema20 & rsi<=40 & rvol>=1.2 & slopes<0,IREN
