ticker,name,action,shock_flag,status,zscore,shock_reason,close,ma20,std,rsi14,pct_1d,atr14
4063.T,信越化学,hold,NORMAL,OK,1.191,no_shock,4684.0,4579.5,87.7,56.2,-0.0089,87.041
5713.T,住友金属鉱山,hold,NORMAL,OK,0.897,no_shock,5119.0,4989.4,144.42,50.0,0.0065,170.346
6339.T,新東工業,hold,NORMAL,OK,1.537,no_shock,1040.0,1005.2,22.61,69.0,0.0136,19.651
^N225,日経225先物,hold,NORMAL,OK,-0.097,no_shock,49864.7,49948.7,865.25,43.0,0.0114,916.993
^VIX,恐怖指数（VIX）,hold,NORMAL,OK,-1.043,no_shock,16.5,19.6,3.0,47.8,-0.006,2.644
^DJI,ダウ平均指数,hold,NORMAL,OK,0.671,no_shock,47474.5,47036.9,651.69,45.9,0.0039,555.725
^GSPC,SP500,hold,NORMAL,OK,0.945,no_shock,6829.4,6743.3,91.04,48.8,0.0025,86.649
SPY,SPY,hold,NORMAL,OK,0.972,no_shock,681.5,672.7,9.06,49.0,0.0019,8.641
^NDX,NASDAQ100,hold,NORMAL,OK,1.04,no_shock,25555.9,25080.5,457.01,50.3,0.0084,447.386
^IXIC,NASDAQ総合,hold,NORMAL,OK,0.931,no_shock,23413.7,23015.2,427.85,49.2,0.0059,416.611
^RUT,Russell_2000,hold,NORMAL,OK,0.821,no_shock,2465.0,2419.7,55.21,50.8,-0.0017,43.946
GLDM,Gold,hold,NORMAL,OK,1.287,no_shock,83.3,81.2,1.66,58.6,-0.0064,1.291
1540.T,純金上場信託（1540）,hold,NORMAL,OK,0.846,no_shock,20020.0,19636.8,453.22,53.8,-0.0017,474.76
2914.T,JT,hold,NORMAL,OK,0.779,no_shock,5814.0,5701.4,144.55,63.1,-0.0172,98.5
8058.T,三菱商事,hold,NORMAL,OK,0.232,no_shock,3670.0,3659.6,45.12,46.1,-0.0022,70.356
8316.T,三井住友F,hold,NORMAL,OK,1.559,no_shock,4817.0,4442.5,240.18,74.9,-0.0205,115.615
1496.T,USD投資適格社債ETF(H),hold,NORMAL,OK,0.557,no_shock,1753.0,1749.0,7.27,51.8,-0.0006,7.061
2866.T,GX米国優先証券,hold,NORMAL,OK,0.848,no_shock,993.0,988.1,5.78,48.3,0.0051,8.207
1329.T,日経225ETF,hold,NORMAL,OK,-0.106,no_shock,5189.0,5198.4,88.93,43.0,0.0131,97.302
1489.T,日経平均高配当ETF,hold,NORMAL,OK,0.983,no_shock,2750.0,2691.4,59.55,63.1,-0.0029,33.914
LITE,LITE,hold,NORMAL,OK,1.174,no_shock,302.8,260.9,35.71,60.6,-0.0476,24.056
BE,BE,hold,NORMAL,OK,-0.473,no_shock,105.0,113.0,16.85,38.9,0.0614,13.06
IREN,IREN,CRASH,CRASH,CRASH,-1.198,pct -15.2% <= -8.0%,41.1,52.5,9.51,28.0,-0.152,6.147
NBIS,NBIS,hold,NORMAL,OK,-0.021,no_shock,96.4,96.7,10.29,45.8,-0.0369,9.447
JEPI,JEPI,hold,NORMAL,OK,0.684,no_shock,57.2,56.8,0.53,50.6,-0.0009,0.499
JEPQ,JEPQ,hold,NORMAL,OK,0.757,no_shock,58.5,57.8,0.84,48.4,0.0053,0.88
QQQI,QQQI,hold,NORMAL,OK,0.631,no_shock,54.6,54.1,0.83,46.6,0.0063,0.857
NVDA,Nvidia,hold,NORMAL,OK,-0.702,no_shock,181.5,186.3,6.9,38.5,0.0086,7.756
AMZN,Amazon,hold,NORMAL,OK,-0.073,no_shock,234.4,235.2,10.35,35.5,0.0023,6.331
WMT,Wolmart,hold,NORMAL,OK,2.122,no_shock,112.4,104.7,3.63,70.7,0.0079,2.251
MSFT,MSFT,hold,NORMAL,OK,-0.371,no_shock,490.0,494.9,13.32,38.8,0.0067,10.517
