ticker,signal,score,close,ema10,ema20,slope10,slope20,rsi,rvol20,bb_up,bb_dn,reason,name
^NDX,TAKE_PROFIT,5,25555.1400,25486.7300,25380.6700,0.0690,0.0900,60.8700,1.2160,25617.3800,25178.3700,near +2sigma or rsi>=70 with vol,NASDAQ100
^IXIC,TAKE_PROFIT,5,23412.6000,23381.8000,23300.4200,0.0530,0.0820,56.4500,1.1520,23479.7700,23168.1300,near +2sigma or rsi>=70 with vol,NASDAQ総合
WMT,TAKE_PROFIT,5,112.4100,111.6500,110.8100,0.1110,0.1790,75.7300,1.2450,112.9600,109.0300,near +2sigma or rsi>=70 with vol,Wolmart
^GSPC,TAKE_PROFIT,4,6827.8300,6827.2700,6815.6500,0.0060,0.0550,47.0600,1.6780,6844.7600,6808.7000,near +2sigma or rsi>=70 with vol,SP500
SPY,TAKE_PROFIT,4,681.4800,681.3800,680.1900,0.0070,0.0560,47.5200,1.1420,683.0800,679.4900,near +2sigma or rsi>=70 with vol,SPY
8058.T,TAKE_PROFIT,4,3683.0000,3685.3600,3682.8600,0.0140,0.0020,57.2900,0.8350,3700.6100,3658.2900,near +2sigma or rsi>=70 with vol,三菱商事
JEPQ,TAKE_PROFIT,4,58.4700,58.4000,58.2900,0.0180,0.0480,44.9400,2.1310,58.7600,57.9900,near +2sigma or rsi>=70 with vol,JEPQ
QQQI,TAKE_PROFIT,4,54.6200,54.5000,54.3500,0.0530,0.0530,61.0800,0.3080,54.7400,53.9400,near +2sigma or rsi>=70 with vol,QQQI
^N225,TAKE_PROFIT,3,49919.7100,49812.7300,49725.0700,0.0610,-0.0180,69.9200,,50120.7900,49014.9300,near +2sigma or rsi>=70 with vol,日経225先物
^DJI,TAKE_PROFIT,3,47468.6500,47453.0300,47389.8600,-0.0070,0.0480,43.0700,1.2770,47704.3200,47254.5200,near +2sigma or rsi>=70 with vol,ダウ平均指数
2866.T,TAKE_PROFIT,3,994.0000,992.7800,991.7300,0.0400,-0.0040,81.8200,0.0090,996.5200,983.6800,near +2sigma or rsi>=70 with vol,GX米国優先証券
1329.T,TAKE_PROFIT,3,5190.0000,5180.3100,5171.4300,0.0590,-0.0190,67.8600,0.4330,5212.3500,5098.0500,near +2sigma or rsi>=70 with vol,日経225ETF
1496.T,TAKE_PROFIT,0,1753.0000,1753.3600,1754.8300,-0.0180,-0.0180,36.8400,0.0160,1760.7300,1749.2700,near +2sigma or rsi>=70 with vol,USD投資適格社債ETF(H)
6339.T,BUY,5,1041.0000,1040.3500,1037.3600,0.0740,0.0110,56.4500,1.2380,1053.8200,1017.2800,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,新東工業
8316.T,BUY,4,4830.0000,4830.9800,4812.3100,0.0310,0.1490,61.0500,0.6850,4918.7700,4744.4300,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,三井住友F
NVDA,BUY,4,181.3600,180.9600,180.4000,0.1090,0.0280,65.5800,0.4790,183.3000,176.6800,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,Nvidia
AMZN,BUY,4,234.3700,234.6000,233.3700,0.0860,0.1200,61.0900,0.8110,237.5900,229.1900,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,Amazon
BE,BUY,3,105.0400,105.3700,103.5100,0.3130,0.4250,45.2100,0.8270,110.1800,98.0700,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,BE
MSFT,BUY,3,490.0600,489.7100,488.1800,0.0400,0.0880,47.3800,0.7480,492.9100,485.2200,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,MSFT
NBIS,HOLD,3,96.4000,98.2200,97.0100,0.3020,0.3440,53.8100,0.8920,102.5200,91.8800,no clear edge; wait,NBIS
4063.T,HOLD,2,4679.0000,4676.1900,4673.6000,-0.0180,0.0340,53.1200,1.0380,4720.4400,4639.2600,no clear edge; wait,信越化学
5713.T,HOLD,2,5114.0000,5102.1400,5094.1400,-0.0210,0.0510,43.2800,0.7010,5169.2200,5046.7800,no clear edge; wait,住友金属鉱山
^RUT,HOLD,2,2465.1400,2474.1700,2472.3900,-0.0420,0.0620,33.1100,,2504.6900,2458.9800,no clear edge; wait,Russell_2000
GLDM,HOLD,2,83.3300,83.2000,83.0600,-0.0180,0.0780,51.0300,1.0990,84.3200,82.2100,no clear edge; wait,Gold
LITE,HOLD,2,303.1900,307.4400,306.7400,-0.2150,0.3150,32.5000,0.9450,326.1800,297.7700,no clear edge; wait,LITE
1540.T,HOLD,1,20045.0000,20098.6800,20107.8100,-0.0450,0.0350,33.3300,0.5980,20439.2600,19924.7400,no clear edge; wait,純金上場信託（1540）
1489.T,HOLD,1,2747.0000,2751.3200,2753.2800,-0.0260,-0.0110,45.6500,1.9170,2763.9400,2743.1600,no clear edge; wait,日経平均高配当ETF
JEPI,HOLD,1,57.1600,57.2100,57.2800,-0.0590,0.0020,25.9800,0.4230,57.9900,56.8200,no clear edge; wait,JEPI
^VIX,HOLD,0,16.4900,16.6900,16.8300,-0.1590,-0.1840,37.4400,,17.3400,16.2900,no clear edge; wait,恐怖指数（VIX）
2914.T,HOLD,0,5822.0000,5844.9100,5860.1100,-0.0990,-0.0150,44.2400,0.6150,5957.8800,5782.2200,no clear edge; wait,JT
IREN,LOSS_CUT,1,41.1100,44.6300,45.7400,-0.6440,-0.1240,20.4000,4.1500,51.0000,42.2500,ema10<ema20 & close<ema20 & rsi<=40 & rvol>=1.2 & slopes<0,IREN
