ticker,stress_v,shk_act,shk_F,shk_stat,zscore,signal,dahs_v,regime_v,close,vwap20,vp_poc,pct_1d,rsi,rsi_zone,atr14,ema10,ema20,slope10,slope20,sma50,sma200,rvol20,bb_2sigma_up,bb_2sigma_dn,reason,shk_R,name
^NDX,0.1627,hold,NORMAL,OK,1.04,TAKE_PROFIT,5,,25555.14,,,0.0084,60.87,,,25486.73,25380.67,0.069,0.09,,,1.216,25617.38,25178.37,near +2sigma or rsi>=70 with vol,no_shock,NASDAQ100
^IXIC,0.1025,hold,NORMAL,OK,0.931,TAKE_PROFIT,5,,23412.6,,,0.0059,56.45,,,23381.8,23300.42,0.053,0.082,,,1.152,23479.77,23168.13,near +2sigma or rsi>=70 with vol,no_shock,NASDAQ総合
WMT,0.3186,hold,NORMAL,OK,2.122,TAKE_PROFIT,5,,112.41,,,0.0079,75.73,,,111.65,110.81,0.111,0.179,,,1.245,112.96,109.03,near +2sigma or rsi>=70 with vol,no_shock,Wolmart
^GSPC,0.1989,hold,NORMAL,OK,0.945,TAKE_PROFIT,4,,6827.83,,,0.0025,47.06,,,6827.27,6815.65,0.006,0.055,,,1.678,6844.76,6808.7,near +2sigma or rsi>=70 with vol,no_shock,SP500
SPY,0.1735,hold,NORMAL,OK,0.972,TAKE_PROFIT,4,2.0,681.48,670.29,671.18,0.0019,47.52,neutral,9.9386,681.38,680.19,0.007,0.056,671.06,616.77,1.142,683.08,679.49,near +2sigma or rsi>=70 with vol,no_shock,SPY
8058.T,0.0729,hold,NORMAL,OK,0.232,TAKE_PROFIT,4,0.0,3683.0,3651.86,3570.44,-0.0022,57.29,neutral,70.14,3685.36,3682.86,0.014,0.002,3620.4,3045.53,0.835,3700.61,3658.29,near +2sigma or rsi>=70 with vol,no_shock,三菱商事
JEPQ,0.2222,hold,NORMAL,OK,0.757,TAKE_PROFIT,4,0.0,58.47,57.65,57.31,0.0053,44.94,neutral,1.0939,58.4,58.29,0.018,0.048,57.79,54.6,2.131,58.76,57.99,near +2sigma or rsi>=70 with vol,no_shock,JEPQ
QQQI,0.2216,hold,NORMAL,OK,0.631,TAKE_PROFIT,4,,54.62,,,0.0063,61.08,,,54.5,54.35,0.053,0.053,,,0.308,54.74,53.94,near +2sigma or rsi>=70 with vol,no_shock,QQQI
^N225,0.2154,hold,NORMAL,OK,-0.097,TAKE_PROFIT,3,,49919.71,,,0.0114,69.92,,,49812.73,49725.07,0.061,-0.018,,,,50120.79,49014.93,near +2sigma or rsi>=70 with vol,no_shock,日経225先物
^DJI,0.1385,hold,NORMAL,OK,0.671,TAKE_PROFIT,3,,47468.65,,,0.0039,43.07,,,47453.03,47389.86,-0.007,0.048,,,1.277,47704.32,47254.52,near +2sigma or rsi>=70 with vol,no_shock,ダウ平均指数
2866.T,0.6364,hold,NORMAL,OK,0.848,TAKE_PROFIT,3,,994.0,,,0.0051,81.82,,,992.78,991.73,0.04,-0.004,,,0.009,996.52,983.68,near +2sigma or rsi>=70 with vol,no_shock,GX米国優先証券
1329.T,0.1963,hold,NORMAL,OK,-0.106,TAKE_PROFIT,3,,5190.0,,,0.0131,67.86,,,5180.31,5171.43,0.059,-0.019,,,0.433,5212.35,5098.05,near +2sigma or rsi>=70 with vol,no_shock,日経225ETF
1496.T,0.2632,hold,NORMAL,OK,0.557,TAKE_PROFIT,0,,1753.0,,,-0.0006,36.84,,,1753.36,1754.83,-0.018,-0.018,,,0.016,1760.73,1749.27,near +2sigma or rsi>=70 with vol,no_shock,USD投資適格社債ETF(H)
6339.T,0.0827,hold,NORMAL,OK,1.537,BUY,5,0.0,1041.0,1003.17,1005.12,0.0136,56.45,neutral,15.86,1040.35,1037.36,0.074,0.011,1022.72,910.86,1.238,1053.82,1017.28,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,新東工業
8316.T,0.1105,hold,NORMAL,OK,1.559,BUY,4,0.0,4830.0,4471.67,4078.69,-0.0205,61.05,overbought,131.64,4830.98,4812.31,0.031,0.149,4227.54,3838.69,0.685,4918.77,4744.43,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,三井住友F
NVDA,0.2485,hold,NORMAL,OK,-0.702,BUY,4,1.0,181.36,185.62,177.18,0.0086,65.58,neutral,8.1036,180.96,180.4,0.109,0.028,186.85,154.1,0.479,183.3,176.68,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,Nvidia
AMZN,0.082,hold,NORMAL,OK,-0.073,BUY,4,0.0,234.37,233.73,222.43,0.0023,61.09,neutral,6.3193,234.6,233.37,0.086,0.12,227.75,214.72,0.811,237.59,229.19,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,Amazon
BE,0.0845,hold,NORMAL,OK,-0.473,BUY,3,0.0,105.04,109.58,85.94,0.0614,45.21,neutral,14.37,105.37,103.51,0.313,0.425,105.01,48.43,0.827,110.18,98.07,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,BE
MSFT,0.1254,hold,NORMAL,OK,-0.371,BUY,3,1.0,490.06,493.85,517.3,0.0067,47.38,neutral,11.72,489.71,488.18,0.04,0.088,509.48,468.79,0.748,492.91,485.22,ema10>ema20 & slopes>0 & rsi>=45 & close>=ema20,no_shock,MSFT
NBIS,0.0277,hold,NORMAL,OK,-0.021,HOLD,3,0.0,96.4,94.67,95.22,-0.0369,53.81,neutral,9.3481,98.22,97.01,0.302,0.344,109.96,61.64,0.892,102.52,91.88,no clear edge; wait,no_shock,NBIS
4063.T,0.0271,hold,NORMAL,OK,1.191,HOLD,2,0.0,4679.0,4566.81,4419.71,-0.0089,53.12,neutral,86.93,4676.19,4673.6,-0.018,0.034,4751.96,4541.06,1.038,4720.44,4639.26,no clear edge; wait,no_shock,信越化学
5713.T,0.0672,hold,NORMAL,OK,0.897,HOLD,2,0.0,5114.0,4984.56,5096.46,0.0065,43.28,neutral,164.5,5102.14,5094.14,-0.021,0.051,4966.18,3818.51,0.701,5169.22,5046.78,no clear edge; wait,no_shock,住友金属鉱山
^RUT,0.3378,hold,NORMAL,OK,0.821,HOLD,2,,2465.14,,,-0.0017,33.11,,,2474.17,2472.39,-0.042,0.062,,,,2504.69,2458.98,no clear edge; wait,no_shock,Russell_2000
GLDM,0.0234,hold,NORMAL,OK,1.287,HOLD,2,0.0,83.33,81.3,81.44,-0.0064,51.03,neutral,1.2876,83.2,83.06,-0.018,0.078,79.99,68.66,1.099,84.32,82.21,no clear edge; wait,no_shock,Gold
LITE,0.175,hold,NORMAL,OK,1.174,HOLD,2,0.0,303.19,257.51,160.58,-0.0476,32.5,neutral,28.07,307.44,306.74,-0.215,0.315,206.29,118.8,0.945,326.18,297.77,no clear edge; wait,no_shock,LITE
1540.T,0.1667,hold,NORMAL,OK,0.846,HOLD,1,0.0,20045.0,19629.92,19467.71,-0.0017,33.33,neutral,355.36,20098.68,20107.81,-0.045,0.035,19363.6,15681.52,0.598,20439.26,19924.74,no clear edge; wait,no_shock,純金上場信託（1540）
1489.T,0.2728,hold,NORMAL,OK,0.983,HOLD,1,,2747.0,,,-0.0029,45.65,,,2751.32,2753.28,-0.026,-0.011,,,1.917,2763.94,2743.16,no clear edge; wait,no_shock,日経平均高配当ETF
JEPI,0.2402,hold,NORMAL,OK,0.684,HOLD,1,0.0,57.16,56.72,56.92,-0.0009,25.98,neutral,0.558,57.21,57.28,-0.059,0.002,56.88,56.55,0.423,57.99,56.82,no clear edge; wait,no_shock,JEPI
^VIX,0.1996,hold,NORMAL,OK,-1.043,HOLD,0,0.0,16.49,,,-0.006,37.44,neutral,3.2857,16.69,16.83,-0.159,-0.184,18.5,19.69,,17.34,16.29,no clear edge; wait,no_shock,恐怖指数（VIX）
2914.T,0.0576,hold,NORMAL,OK,0.779,HOLD,0,0.0,5822.0,5695.02,4938.56,-0.0172,44.24,neutral,95.0,5844.91,5860.11,-0.099,-0.015,5240.74,4545.18,0.615,5957.88,5782.22,no clear edge; wait,no_shock,JT
IREN,0.4978,CRASH,CRASH,CRASH,-1.198,LOSS_CUT,1,0.0,41.11,52.3,46.56,-0.152,20.4,oversold,5.7125,44.63,45.74,-0.644,-0.124,55.03,23.91,4.15,51.0,42.25,ema10<ema20 & close<ema20 & rsi<=40 & rvol>=1.2 & slopes<0,pct -15.2% <= -8.0%,IREN
