ticker,role,trend,score,last,pct,vwap20,vp_poc,rsi,rsi_zone,atr14,ema10,ema20,sma50,sma200,kel_mid,kel_up,kel_dn,timestamp
^VIX,vix,range,2,17.19,-7.3815,,,44.98,neutral,3.36,20.52,20.08,18.45,19.66,20.08,26.8,13.36,251127_1615
SPY,risk_asset,range,1,679.68,0.6903,670.59,671.5,56.15,neutral,10.85,669.95,670.69,670.02,615.65,670.69,692.4,648.99,251127_1615
NVDA,leader,range,1,180.26,1.3722,188.54,177.86,43.5,neutral,9.02,183.3,186.13,186.81,153.44,186.13,204.17,168.09,251127_1615
MSFT,leader,range,1,485.5,1.7841,499.25,517.3,42.82,neutral,11.84,487.28,496.22,510.92,467.58,496.22,519.9,472.54,251127_1615
GLDM,gold,up,1,82.43,0.7825,80.68,81.56,67.95,neutral,1.3434,81.3,80.83,79.36,68.27,80.83,83.52,78.15,251127_1615
QQQ,risk_asset,range,1,614.27,0.8836,608.95,599.19,51.45,neutral,13.6,605.64,608.0,608.26,544.74,608.0,635.19,580.8,251127_1615
BE,Hi_vola,range,0,101.14,7.2648,113.93,88.64,30.84,neutral,15.03,103.03,108.07,103.79,47.23,108.07,138.14,78.0,251127_1615
5713.T,住友鉱山,up,0,5055.0,3.48,4973.41,4941.9,54.05,neutral,184.14,4935.84,4957.01,4905.36,3787.68,4957.01,5325.3,4588.73,251127_1615
4063.T,信越化学,range,0,4650.0,0.7147,4561.91,4419.71,62.24,neutral,76.71,4562.58,4599.72,4738.48,4540.27,4599.72,4753.15,4446.29,251127_1615
6339.T,新東工業,range,0,1035.0,1.4706,1008.79,1004.35,56.9,neutral,17.21,1006.88,1009.34,1020.44,908.27,1009.34,1043.77,974.91,251127_1615
8316.T,三井住友F,up,0,4720.0,2.0761,4311.92,4076.35,77.53,overbought,120.14,4471.06,4357.12,4170.34,3818.22,4357.12,4597.4,4116.83,251127_1615
8058.T,三菱商事,up,0,3691.0,0.19,3647.68,3571.23,55.39,neutral,71.5,3660.03,3651.02,3603.98,3022.16,3651.02,3794.02,3508.02,251127_1615
2914.T,JT,up,0,5916.0,1.1801,5533.29,4908.5,83.28,overbought,95.57,5731.47,5571.83,5152.08,4506.75,5571.83,5762.98,5380.69,251127_1615
1540.T,Gold,up,0,19920.0,0.3274,19375.88,19410.94,62.33,neutral,401.07,19660.0,19565.85,19101.7,15543.98,19565.85,20368.0,18763.71,251127_1615
IREN,Hi_vola,range,0,48.45,2.0645,55.41,60.7,25.57,oversold,6.0479,48.77,51.85,54.62,23.42,51.85,63.95,39.76,251127_1615
NBIS,Hi_vola,range,0,94.69,6.5369,97.01,95.3,39.52,neutral,10.16,92.32,97.74,110.13,60.81,97.74,118.05,77.43,251127_1615
LITE,Hi_vola,up,0,308.28,5.8399,245.15,166.17,65.25,neutral,27.52,268.85,246.88,197.47,115.25,246.88,301.93,191.83,251127_1615
JEPQ,JEPQ,range,0,58.42,0.811,57.73,57.22,53.99,neutral,1.1426,57.57,57.69,57.71,54.59,57.69,59.97,55.4,251127_1615
JEPI,JEPI,up,0,57.67,0.4004,56.65,56.87,66.36,neutral,0.5601,56.89,56.81,56.85,56.58,56.81,57.93,55.69,251127_1615
AMZN,AMAZON,up,0,229.16,-0.2221,235.97,222.43,36.48,neutral,6.5455,228.77,230.6,227.53,214.66,230.6,243.7,217.51,251127_1615
^TNX,yield,down,0,3.998,-0.0999,,,35.82,neutral,0.0478,4.0616,4.0736,4.0829,4.2623,4.0736,4.1692,3.9781,251127_1615
UUP,dollar,range,0,28.23,-0.2826,28.24,28.38,53.62,neutral,0.0964,28.28,28.2,27.92,27.78,28.2,28.4,28.01,251127_1615
JPY=X,fx,up,-1,156.05,-0.1133,,,73.39,overbought,1.1335,155.96,155.03,152.27,147.99,155.03,157.29,152.76,251127_1615
^VIX,vix,range,2,17.19,-7.3815,,,44.98,neutral,3.36,20.52,20.08,18.45,19.66,20.08,26.8,13.36,251127_1631
SPY,risk_asset,range,1,679.68,0.6903,670.59,671.5,56.15,neutral,10.85,669.95,670.69,670.02,615.65,670.69,692.4,648.99,251127_1631
NVDA,leader,range,1,180.26,1.3722,188.54,177.86,43.5,neutral,9.02,183.3,186.13,186.81,153.44,186.13,204.17,168.09,251127_1631
MSFT,leader,range,1,485.5,1.7841,499.25,517.3,42.82,neutral,11.84,487.28,496.22,510.92,467.58,496.22,519.9,472.54,251127_1631
GLDM,gold,up,1,82.43,0.7825,80.68,81.56,67.95,neutral,1.3434,81.3,80.83,79.36,68.27,80.83,83.52,78.15,251127_1631
QQQ,risk_asset,range,1,614.27,0.8836,608.95,599.19,51.45,neutral,13.6,605.64,608.0,608.26,544.74,608.0,635.19,580.8,251127_1631
BE,Hi_vola,range,0,101.14,7.2648,113.93,88.64,30.84,neutral,15.03,103.03,108.07,103.79,47.23,108.07,138.14,78.0,251127_1631
5713.T,住友鉱山,up,0,5055.0,3.48,4973.41,4941.9,54.05,neutral,184.14,4935.84,4957.01,4905.36,3787.68,4957.01,5325.3,4588.73,251127_1631
4063.T,信越化学,range,0,4650.0,0.7147,4561.91,4419.71,62.24,neutral,76.71,4562.58,4599.72,4738.48,4540.27,4599.72,4753.15,4446.29,251127_1631
6339.T,新東工業,range,0,1035.0,1.4706,1008.79,1004.35,56.9,neutral,17.21,1006.88,1009.34,1020.44,908.27,1009.34,1043.77,974.91,251127_1631
8316.T,三井住友F,up,0,4720.0,2.0761,4311.92,4076.35,77.53,overbought,120.14,4471.06,4357.12,4170.34,3818.22,4357.12,4597.4,4116.83,251127_1631
8058.T,三菱商事,up,0,3691.0,0.19,3647.68,3571.23,55.39,neutral,71.5,3660.03,3651.02,3603.98,3022.16,3651.02,3794.02,3508.02,251127_1631
2914.T,JT,up,0,5916.0,1.1801,5533.29,4908.5,83.28,overbought,95.57,5731.47,5571.83,5152.08,4506.75,5571.83,5762.98,5380.69,251127_1631
1540.T,Gold,up,0,19920.0,0.3274,19375.88,19410.94,62.33,neutral,401.07,19660.0,19565.85,19101.7,15543.98,19565.85,20368.0,18763.71,251127_1631
IREN,Hi_vola,range,0,48.45,2.0645,55.41,60.7,25.57,oversold,6.0479,48.77,51.85,54.62,23.42,51.85,63.95,39.76,251127_1631
NBIS,Hi_vola,range,0,94.69,6.5369,97.01,95.3,39.52,neutral,10.16,92.32,97.74,110.13,60.81,97.74,118.05,77.43,251127_1631
LITE,Hi_vola,up,0,308.28,5.8399,245.15,166.17,65.25,neutral,27.52,268.85,246.88,197.47,115.25,246.88,301.93,191.83,251127_1631
JEPQ,JEPQ,range,0,58.42,0.811,57.73,57.22,53.99,neutral,1.1426,57.57,57.69,57.71,54.59,57.69,59.97,55.4,251127_1631
JEPI,JEPI,up,0,57.67,0.4004,56.65,56.87,66.36,neutral,0.5601,56.89,56.81,56.85,56.58,56.81,57.93,55.69,251127_1631
AMZN,AMAZON,up,0,229.16,-0.2221,235.97,222.43,36.48,neutral,6.5455,228.77,230.6,227.53,214.66,230.6,243.7,217.51,251127_1631
^TNX,yield,down,0,3.998,-0.0999,,,35.82,neutral,0.0478,4.0616,4.0736,4.0829,4.2623,4.0736,4.1692,3.9781,251127_1631
UUP,dollar,range,0,28.23,-0.2826,28.24,28.38,53.62,neutral,0.0964,28.28,28.2,27.92,27.78,28.2,28.4,28.01,251127_1631
JPY=X,fx,up,-1,156.05,-0.1133,,,73.39,overbought,1.1335,155.96,155.03,152.27,147.99,155.03,157.29,152.76,251127_1631
^VIX,vix,range,2,17.19,-7.3815,,,44.98,neutral,3.36,20.52,20.08,18.45,19.66,20.08,26.8,13.36,251127_1635
SPY,risk_asset,range,1,679.68,0.6903,670.59,671.5,56.15,neutral,10.85,669.95,670.69,670.02,615.65,670.69,692.4,648.99,251127_1635
NVDA,leader,range,1,180.26,1.3722,188.54,177.86,43.5,neutral,9.02,183.3,186.13,186.81,153.44,186.13,204.17,168.09,251127_1635
MSFT,leader,range,1,485.5,1.7841,499.25,517.3,42.82,neutral,11.84,487.28,496.22,510.92,467.58,496.22,519.9,472.54,251127_1635
GLDM,gold,up,1,82.43,0.7825,80.68,81.56,67.95,neutral,1.3434,81.3,80.83,79.36,68.27,80.83,83.52,78.15,251127_1635
QQQ,risk_asset,range,1,614.27,0.8836,608.95,599.19,51.45,neutral,13.6,605.64,608.0,608.26,544.74,608.0,635.19,580.8,251127_1635
BE,Hi_vola,range,0,101.14,7.2648,113.93,88.64,30.84,neutral,15.03,103.03,108.07,103.79,47.23,108.07,138.14,78.0,251127_1635
5713.T,住友鉱山,up,0,5055.0,3.48,4973.41,4941.9,54.05,neutral,184.14,4935.84,4957.01,4905.36,3787.68,4957.01,5325.3,4588.73,251127_1635
4063.T,信越化学,range,0,4650.0,0.7147,4561.91,4419.71,62.24,neutral,76.71,4562.58,4599.72,4738.48,4540.27,4599.72,4753.15,4446.29,251127_1635
6339.T,新東工業,range,0,1035.0,1.4706,1008.79,1004.35,56.9,neutral,17.21,1006.88,1009.34,1020.44,908.27,1009.34,1043.77,974.91,251127_1635
8316.T,三井住友F,up,0,4720.0,2.0761,4311.92,4076.35,77.53,overbought,120.14,4471.06,4357.12,4170.34,3818.22,4357.12,4597.4,4116.83,251127_1635
8058.T,三菱商事,up,0,3691.0,0.19,3647.68,3571.23,55.39,neutral,71.5,3660.03,3651.02,3603.98,3022.16,3651.02,3794.02,3508.02,251127_1635
